OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,FIRE_TYPE,IRWINID,MAP_ID,MAP_PROG,ASMNT_TYPE,IG_DATE,PRE_ID,POST_ID,PERIM_ID,DNBR_OFFST,DNBR_STDDV,NODATA_THRESHOLD,GREENNESS_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,COMMENTS,LATITUDE,LONGITUDE,SHAPEAREA,SHAPELEN
23227,2525,AK6750814215920170703,LAKE CREEK,2017,7,3,Wildfire,BF193C80-A9FC-41DE-A790-0756CB58450C,10011040,MTBS,Initial,20170703,A07WDQ20170701_30m,A07WDQ20170711_30m,,-24,9,-970,-150,10,260,9999,,67.506,-142.125,0.00214590236069386,0.49881583259318
23228,35939,AK6756014404320170706,HELMET,2017,7,6,Wildfire,1E5D3F64-62ED-4149-AB71-53535BDD0504,10010976,MTBS,Extended,20170706,807001220160617,807001220180607,,95,32,-970,-150,140,384,670,,67.607,-143.97,0.0306560734060609,2.4417592657183
23229,3098,AK6769314223920170630,DOROTHY CREEK,2017,6,30,Wildfire,F86DF691-23C6-40D2-BB4C-52E624145FAF,10011037,MTBS,Initial,20170630,A07WDR20170621_30m,A07WDR20170711_30m,,-30,16,-970,-150,-10,240,9999,,67.676,-142.247,0.00265132911299585,0.582070713868309
23230,34023,AK6829214201220170703,LOIS CREEK,2017,7,3,Wildfire,022B3833-8BAA-4CF8-AC50-CF235F065649,10011063,MTBS,Extended,20170703,806701220170701,806801220180625,,41,6,-970,-150,50,250,500,,68.29,-142.101,0.0298999081818123,1.80601831600905
23231,24311,AK6841814132320170624,AMMERMAN CREEK,2017,6,24,Wildfire,86A07501-8395-4D5D-B812-A18DA398F01D,10011025,MTBS,Initial,20170624,806801220160806,806901220170731,,-17,10,-970,-150,50,243,470,,68.412,-141.313,0.0214708002437892,1.9621685380588
23232,1618,AK6967915962220170629,OMIKMUKTUSUK,2017,6,29,Wildfire,14025835-30F7-4E28-B709-4B1A34BBC458,10010507,MTBS,Extended,20170629,807901120160702,808001120180629,,82,8,-970,-150,50,280,9999,,69.686,-159.607,0.00151486951898066,0.416617663537743
23233,2885,AK6975415903620170629,KETIK RIVER,2017,6,29,Wildfire,CD900D9B-9773-49E1-A693-F8B11B5C378E,10010506,MTBS,Extended,20170629,807901120160702,808001120180629,,87,11,-970,-150,100,280,9999,,69.765,-159.058,0.00271042632181279,0.438037214928979
23234,1034,AL3106508651120170130,UNNAMED,2017,1,30,Prescribed Fire,,10009749,MTBS,Initial,20170130,802003820170129,802003820170214,,-4,19,-970,-150,50,430,9999,,31.094,-86.479,0.000395753922070404,0.19351857617248
23235,2875,AL3107008672320170117,UNNAMED,2017,1,17,Prescribed Fire,,10009740,MTBS,Initial,20170117,802003820170113,802003820170129,,33,14,-970,-150,80,410,9999,,31.065,-86.673,0.00109983411443635,0.34993030622203
23236,2643,AL3108408666820170419,UNNAMED,2017,4,19,Unknown,,10009871,MTBS,Initial,20170419,802003820170214,802003820170419,,25,41,-970,-150,50,410,9999,,31.09,-86.662,0.0010112215200472,0.229438171116924
23237,1027,AL3111808659220170116,UNNAMED,2017,1,16,Prescribed Fire,,10009809,MTBS,Initial,20170116,802003820170113,802003820170214,,36,15,-970,-150,80,9999,9999,,31.124,-86.591,0.000393326486598737,0.0905836245063509
23238,860,AL3111808659220170129,UNNAMED,2017,1,29,Prescribed Fire,,10009743,MTBS,Initial,20170129,802003820170113,802003820170214,,36,15,-970,-150,80,9999,9999,,31.129,-86.606,0.000329344864159885,0.175881088015528
23239,2693,AL3111808659220171017,UNNAMED,2017,10,17,Prescribed Fire,,10009744,MTBS,Initial,20171017,802003820170926,802003820171113,,28,10,-970,-150,50,350,9999,,31.114,-86.556,0.00103064692279791,0.445272177494514
23240,1757,AL3113808653620170128,UNNAMED,2017,1,28,Prescribed Fire,,10009756,MTBS,Initial,20170128,802003820170113,802003820170129,,28,11,-970,-150,80,330,9999,,31.155,-86.554,0.000672757367524098,0.13863836415966
23241,1748,AL3113808653620170211,UNNAMED,2017,2,11,Prescribed Fire,,10009755,MTBS,Initial,20170211,802003820170129,802003820170214,,7,14,-970,-150,50,350,9999,,31.119,-86.545,0.000668881337442602,0.150703266092311
23242,2375,AL3116908655320171213,CN BLUE SPRING EAST 04,2017,12,13,Prescribed Fire,E2A13D9D-6A95-4495-AA3F-0AFFADC0DE7D,10011465,MTBS,Initial (SS),20171213,,802003820180305,,-9999,-9999,9999,9999,500,-9999,-9999,,31.172,-86.549,0.000909382147267102,0.325309382588949
23243,5157,AL3319508608420170131,UNNAMED,2017,1,31,Prescribed Fire,,10009940,MTBS,Initial,20170131,802003720160228,802003720170302,,-26,28,-970,-150,50,9999,9999,,33.22,-86.107,0.0020184849601618,0.432781158712737
23244,2871,AL3341008588420170214,UNNAMED,2017,2,14,Prescribed Fire,,10009937,MTBS,Initial,20170214,802003720160228,802003720170302,,-24,28,-970,-150,50,9999,9999,3 fires burned together,33.393,-85.908,0.00112602154537027,0.261888230664241
23245,2352,AL3346808575120170309,IVORY MTN WEST,2017,3,9,Prescribed Fire,,10011336,MTBS,Initial,20170309,A16SFC20170214_30m,A16SFC20170316_30m,,29,15,-970,-150,75,340,9999,,33.474,-85.744,0.000923375212307188,0.192084443438776
23246,763,AL3351608571820170305,UNNAMED,2017,3,5,Prescribed Fire,,10011339,MTBS,Initial,20170305,A16SFC20170214_30m,A16SFC20170316_30m,,30,17,-970,-150,70,310,9999,,33.513,-85.717,0.000299705394078486,0.0887905854895268
23247,1028,AL3369708559420170224,UNNAMED,2017,2,24,Prescribed Fire,,10009942,MTBS,Initial,20170224,802003720160228,802003720170302,,-18,24,-970,-150,70,325,9999,,33.687,-85.602,0.000404552902166655,0.126986990235665
23248,1278,AL3382808556320170330,540C,2017,3,30,Prescribed Fire,,10009957,MTBS,Initial,20170330,802003720160416,802003720170419,,-69,39,-970,-150,-40,9999,9999,,33.824,-85.559,0.000504016943713708,0.133573634206929
23249,2764,AL3421508733120170319,UNNAMED,2017,3,19,Prescribed Fire,,10009901,MTBS,Initial,20170319,802103620160407,802103620170410,,18,20,-970,-150,50,9999,9999,,34.213,-87.328,0.00109437499450621,0.302127641500052
23250,2114,AL3423208724120170220,UNNAMED,2017,2,20,Prescribed Fire,,10009892,MTBS,Initial,20170220,802103620160306,802103620170309,,-3,32,-970,-150,50,9999,9999,,34.238,-87.227,0.000837383567952944,0.247783550218463
23251,1081,AL3426808722520170407,UNNAMED,2017,4,7,Prescribed Fire,,10009910,MTBS,Initial,20170407,802103620160407,802103620170410,,42,15,-970,-150,50,9999,9999,,34.267,-87.223,0.000428445302281153,0.0887158237043772
23252,1004,AL3427108738620170304,UNNAMED,2017,3,4,Prescribed Fire,,10009894,MTBS,Initial,20170304,802103620160306,802103620170309,,19,22,-970,-150,50,9999,9999,,34.26,-87.408,0.000398006082364136,0.114523668085319
23253,1230,AL3428308719620170402,UNNAMED,2017,4,2,Prescribed Fire,,10009912,MTBS,Initial,20170402,802103620160407,802103620170410,,25,23,-970,-150,50,9999,9999,,34.282,-87.195,0.00048753038235395,0.133795940182142
23254,2442,AL3429308735520170304,UNNAMED,2017,3,4,Prescribed Fire,,10009899,MTBS,Initial,20170304,802103620160306,802103620170309,,5,17,-970,-150,50,9999,9999,,34.294,-87.356,0.000967729983649338,0.259468184065623
23255,806,AL3431008725520170320,UNNAMED,2017,3,20,Prescribed Fire,,10009905,MTBS,Initial,20170320,802103620160407,802103620170410,,36,20,-970,-150,50,9999,9999,,34.311,-87.256,0.000319821836881093,0.0877469213328549
23256,1620,AL3436508726720170317,UNNAMED,2017,3,17,Prescribed Fire,,10009900,MTBS,Initial,20170317,802103620160407,802103620170410,,-2,28,-970,-150,50,9999,9999,,34.353,-87.271,0.000642622279715847,0.170355055398383
